iso_code,vaccine_id,date_avaliable,date_unavaliable,data_source_id
MYS,4,,,120
MDV,1,,,121
MDV,2,,,121
MDV,3,,,121
MLI,1,,,122
MLT,9,,,123
MLT,5,,,123
MLT,1,,,123
MLT,2,,,123
MRT,1,,,124
MRT,3,,,124
MUS,12,,,125
MUS,1,,,125
MUS,3,,,125
MEX,13,,,126
MEX,9,,,126
MEX,1,,,126
MEX,2,,,126
MEX,4,,,126
MEX,6,,,126
MDA,1,,,127
MDA,2,,,127
MDA,3,,,127
MDA,6,,,127
MCO,2,,,128
MNG,1,,,129
MNG,2,,,129
MNG,3,,,129
MNG,6,,,129
MNE,1,,,130
MNE,2,,,130
MNE,3,,,130
MNE,6,,,130
MSR,1,,,131
MAR,1,,,132
MAR,3,,,132
MOZ,1,,,133
MOZ,3,,,133
MMR,1,,,134
MMR,3,,,134
NAM,1,,,135
NAM,3,,,135
NRU,1,,,136
NPL,1,,,137
NPL,3,,,137
NLD,9,,,138
NLD,5,,,138
NLD,1,,,138
NLD,2,,,138
NCL,2,,,139
NZL,2,,,140
NIC,1,,,141
NIC,6,,,141
NER,1,,,142
NER,3,,,142
NGA,1,,,143
NIU,1,,,144
MKD,1,,,145
MKD,2,,,145
MKD,3,,,145
MKD,4,,,145
MKD,6,,,145
OWID_CYN,1,,,146
OWID_CYN,2,,,146
OWID_CYN,4,,,146
OWID_NIR,5,,,147
OWID_NIR,1,,,147
OWID_NIR,2,,,147
NOR,5,,,148
NOR,2,,,148
OMN,1,,,149
OMN,2,,,149
OMN,4,,,149
OMN,6,,,149
PAK,13,,,150
PAK,1,,,150
PAK,3,,,150
PAK,4,,,150
PAK,6,,,150
PSE,5,,,151
PSE,1,,,151
PSE,2,,,151
PSE,6,,,151
PAN,1,,,152
PAN,2,,,152
PNG,1,,,153
PRY,12,,,154
PRY,1,,,154
PRY,3,,,154
PRY,4,,,154
PRY,6,,,154
PER,1,,,155
PER,2,,,155
PER,3,,,155
PHL,9,,,156
PHL,5,,,156
PHL,1,,,156
PHL,2,,,156
PHL,4,,,156
PHL,6,,,156
PCN,1,,,157
POL,9,,,158
POL,5,,,158
POL,1,,,158
POL,2,,,158
PRT,9,,,159
PRT,5,,,159
PRT,1,,,159
PRT,2,,,159
QAT,5,,,160
QAT,2,,,160
ROU,9,,,161
ROU,5,,,161
ROU,1,,,161
ROU,2,,,161
RUS,16,,,162
RUS,6,,,162
RWA,5,,,163
RWA,1,,,163
RWA,2,,,163
SHN,1,,,164
KNA,1,,,165
LCA,1,,,166
VCT,1,,,167
WSM,1,,,168
SMR,2,,,169
SMR,6,,,169
STP,1,,,170
SAU,1,,,171
SAU,2,,,171
OWID_SCT,5,,,172
OWID_SCT,1,,,172
OWID_SCT,2,,,172
SEN,1,,,173
SEN,3,,,173
SRB,1,,,174
SRB,2,,,174
SRB,3,,,174
SRB,6,,,174
SYC,1,,,175
SYC,3,,,175
SLE,1,,,176
SLE,3,,,176
SGP,5,,,177
SGP,2,,,177
SXM,5,,,178
SXM,1,,,178
SXM,2,,,178
SVK,5,,,179
SVK,1,,,179
SVK,2,,,179
SVN,1,,,180
SVN,2,,,180
SLB,1,,,181
SOM,9,,,182
SOM,1,,,182
SOM,3,,,182
SOM,4,,,182
ZAF,9,,,183
