iso_code,date,vaccine_id,total_vaccinations
BEL,7/05/2021,5,344713
BEL,7/05/2021,1,1004987
BEL,7/05/2021,2,3351831
BEL,14/05/2021,9,29382
BEL,14/05/2021,5,399060
BEL,14/05/2021,1,1098369
BEL,14/05/2021,2,3802793
BEL,21/05/2021,9,49679
BEL,21/05/2021,5,500686
BEL,21/05/2021,1,1364959
BEL,21/05/2021,2,4171252
BEL,28/05/2021,9,73313
BEL,28/05/2021,5,574945
BEL,28/05/2021,1,1464598
BEL,28/05/2021,2,4612546
BEL,4/06/2021,9,97029
BEL,4/06/2021,5,651065
BEL,4/06/2021,1,1567695
BEL,4/06/2021,2,5310459
BEL,11/06/2021,9,142949
BEL,11/06/2021,5,737271
BEL,11/06/2021,1,1754444
BEL,11/06/2021,2,6063128
BEL,18/06/2021,9,212209
BEL,18/06/2021,5,843440
BEL,18/06/2021,1,1889134
BEL,18/06/2021,2,6775033
BEL,25/06/2021,9,243005
BEL,25/06/2021,5,955892
BEL,25/06/2021,1,1958012
BEL,25/06/2021,2,7433909
BEL,2/07/2021,9,266317
BEL,2/07/2021,5,1039308
BEL,2/07/2021,1,2057657
BEL,2/07/2021,2,7901262
BEL,9/07/2021,9,281237
BEL,9/07/2021,5,1100720
BEL,9/07/2021,1,2284449
BEL,9/07/2021,2,8433935
BEL,16/07/2021,9,298772
BEL,16/07/2021,5,1155283
BEL,16/07/2021,1,2438611
BEL,16/07/2021,2,8939682
BEL,23/07/2021,9,308690
BEL,23/07/2021,5,1208596
BEL,23/07/2021,1,2544670
BEL,23/07/2021,2,9490543
BEL,30/07/2021,9,316872
BEL,30/07/2021,5,1239381
BEL,30/07/2021,1,2634759
BEL,30/07/2021,2,9997588
BEL,6/08/2021,9,319928
BEL,6/08/2021,5,1251731
BEL,6/08/2021,1,2673762
BEL,6/08/2021,2,10145990
BGR,1/01/2021,2,0
BGR,8/01/2021,5,0
BGR,8/01/2021,2,13473
BGR,15/01/2021,5,491
BGR,15/01/2021,2,17962
BGR,22/01/2021,5,843
BGR,22/01/2021,2,25300
BGR,29/01/2021,5,1053
BGR,29/01/2021,2,40072
BGR,5/02/2021,5,2207
BGR,5/02/2021,1,10
BGR,5/02/2021,2,54821
BGR,12/02/2021,5,3333
BGR,12/02/2021,1,2035
BGR,12/02/2021,2,70020
BGR,19/02/2021,5,6446
BGR,19/02/2021,1,28947
BGR,19/02/2021,2,83960
BGR,26/02/2021,5,10475
BGR,26/02/2021,1,97630
BGR,26/02/2021,2,104340
BGR,5/03/2021,5,14820
BGR,5/03/2021,1,143932
BGR,5/03/2021,2,129880
BGR,12/03/2021,5,16988
BGR,12/03/2021,1,174209
BGR,12/03/2021,2,147683
BGR,19/03/2021,5,20921
BGR,19/03/2021,1,179029
BGR,19/03/2021,2,168956
BGR,26/03/2021,5,34004
BGR,26/03/2021,1,206835
BGR,26/03/2021,2,195704
BGR,2/04/2021,5,44809
BGR,2/04/2021,1,230180
BGR,2/04/2021,2,228583
BGR,9/04/2021,5,59160
BGR,9/04/2021,1,238387
BGR,9/04/2021,2,275118
BGR,16/04/2021,9,0
BGR,16/04/2021,5,74318
BGR,16/04/2021,1,241707
BGR,16/04/2021,2,322422
BGR,23/04/2021,9,0
BGR,23/04/2021,5,93241
BGR,23/04/2021,1,247383
BGR,23/04/2021,2,382650
BGR,30/04/2021,9,0
BGR,30/04/2021,5,108865
BGR,30/04/2021,1,263756
BGR,30/04/2021,2,452036
BGR,7/05/2021,9,0
BGR,7/05/2021,5,122688
BGR,7/05/2021,1,300451
BGR,7/05/2021,2,514960
BGR,14/05/2021,9,398
BGR,14/05/2021,5,145571
BGR,14/05/2021,1,364379
BGR,14/05/2021,2,606439
BGR,21/05/2021,9,2629
BGR,21/05/2021,5,165767
BGR,21/05/2021,1,401422
BGR,21/05/2021,2,690983
BGR,28/05/2021,9,6276
BGR,28/05/2021,5,181502
BGR,28/05/2021,1,411232
BGR,28/05/2021,2,754371
BGR,4/06/2021,9,11142
BGR,4/06/2021,5,190457
BGR,4/06/2021,1,435357
BGR,4/06/2021,2,827459
BGR,11/06/2021,9,17987
BGR,11/06/2021,5,202784
BGR,11/06/2021,1,457900
BGR,11/06/2021,2,898271
BGR,18/06/2021,9,25928
BGR,18/06/2021,5,216421
BGR,18/06/2021,1,467870
BGR,18/06/2021,2,949706
BGR,25/06/2021,9,33099
BGR,25/06/2021,5,225728
BGR,25/06/2021,1,470990
BGR,25/06/2021,2,997114
BGR,2/07/2021,9,39994
BGR,2/07/2021,5,234047
BGR,2/07/2021,1,472860
BGR,2/07/2021,2,1042927
BGR,9/07/2021,9,48424
BGR,9/07/2021,5,241862
BGR,9/07/2021,1,474021
BGR,9/07/2021,2,1086383
BGR,16/07/2021,9,58430
BGR,16/07/2021,5,247955
BGR,16/07/2021,1,474812
BGR,16/07/2021,2,1127926
BGR,23/07/2021,9,68108
BGR,23/07/2021,5,252761
BGR,23/07/2021,1,475720
BGR,23/07/2021,2,1167720
BGR,30/07/2021,9,78440
BGR,30/07/2021,5,258066
BGR,30/07/2021,1,476371
BGR,30/07/2021,2,1212406
BGR,6/08/2021,9,88846
BGR,6/08/2021,5,258066
BGR,6/08/2021,1,476371
BGR,6/08/2021,2,1212406
CHL,24/12/2020,2,420
CHL,25/12/2020,2,5198
CHL,26/12/2020,2,8341
CHL,27/12/2020,2,8652
CHL,28/12/2020,2,8652
CHL,29/12/2020,2,8652
CHL,30/12/2020,2,8652
CHL,31/12/2020,2,8652
CHL,1/01/2021,2,8652
CHL,2/01/2021,2,8652
CHL,3/01/2021,2,8652
CHL,4/01/2021,2,9057
CHL,5/01/2021,2,10500
CHL,6/01/2021,2,10705
CHL,7/01/2021,2,10705
CHL,8/01/2021,2,10705
CHL,9/01/2021,2,10705
CHL,10/01/2021,2,10705
CHL,11/01/2021,2,10705
CHL,12/01/2021,2,10705
CHL,13/01/2021,2,11738
CHL,14/01/2021,2,18653
CHL,15/01/2021,2,22084
CHL,16/01/2021,2,22174
CHL,17/01/2021,2,22174
CHL,18/01/2021,2,33225
CHL,19/01/2021,2,52586
CHL,20/01/2021,2,61895
CHL,21/01/2021,2,64952
CHL,22/01/2021,2,65365
CHL,23/01/2021,2,65365
CHL,24/01/2021,2,65365
CHL,25/01/2021,2,66785
CHL,26/01/2021,2,67401
CHL,27/01/2021,2,67436
CHL,28/01/2021,2,67436
CHL,29/01/2021,2,67441
CHL,30/01/2021,2,67442
CHL,31/01/2021,2,67442
CHL,1/02/2021,2,67442
CHL,2/02/2021,2,67449
CHL,2/02/2021,4,13183
CHL,3/02/2021,2,67449
CHL,3/02/2021,4,183550
CHL,4/02/2021,2,69577
CHL,4/02/2021,4,357554
CHL,5/02/2021,2,70265
CHL,5/02/2021,4,526281
CHL,6/02/2021,2,70270
CHL,6/02/2021,4,554131
CHL,7/02/2021,2,70272
CHL,7/02/2021,4,562768
CHL,8/02/2021,2,82071
CHL,8/02/2021,4,784234
CHL,9/02/2021,2,101550
CHL,9/02/2021,4,1026609
CHL,10/02/2021,2,109994
CHL,10/02/2021,4,1298935
CHL,11/02/2021,2,113067
CHL,11/02/2021,4,1550110
CHL,12/02/2021,2,113427
CHL,12/02/2021,4,1779206
CHL,13/02/2021,2,113460
CHL,13/02/2021,4,1808727
CHL,14/02/2021,2,113460
CHL,14/02/2021,4,1813194
